year,compensation,productivity
1948,0,0
1949,6.25,1.54
1950,10.48,9.33
1951,11.76,12.35
1952,15.04,15.63
1953,20.85,19.54
1954,23.52,21.56
1955,28.74,26.46
1956,33.95,26.66
1957,37.15,30.1
1958,38.17,32.79
1959,42.55,37.63
1960,45.5,40.05
1961,48,44.35
1962,52.48,49.79
1963,55.03,55
1964,58.51,59.99
1965,62.47,64.94
1966,64.91,70
1967,66.9,72.06
1968,70.74,77.16
1969,74.68,77.87
1970,76.61,80.38
1971,82.03,87.1
1972,91.26,92.01
1973,91.31,96.73
1974,86.98,93.62
1975,86.86,97.89
1976,89.69,103.4
1977,93.16,105.76
1978,95.99,107.76
1979,93.39,108.11
1980,88.6,106.55
1981,87.58,111
1982,87.77,107.87
1983,88.34,114.13
1984,87,119.73
1985,86.36,123.43
1986,87.32,128
1987,84.64,129.14
1988,83.88,131.8
1989,83.74,133.68
1990,82.22,137.01
1991,81.91,138.95
1992,83.07,147.63
1993,83.43,148.44
1994,83.8,150.82
1995,82.69,150.92
1996,82.81,157.01
1997,84.82,160.63
1998,89.16,165.86
1999,91.96,172.76
2000,93.03,179.18
2001,95.7,183.5
2002,99.61,191.43
2003,101.8,200.93
2004,101.11,209.1
2005,100.21,214.53
2006,100.31,216.46
2007,101.83,218.75
2008,101.95,219.36
2009,109.88,225.95
2010,111.85,235.39
2011,109.27,236.71
2012,107.53,240.85
2013,108.86,243.1
